id,name,artist,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
503OTo2dSqe7qk76rgsbep,Still D.R.E.,Dr. Dre,Hip-hop 90s,0.816,0.775,11,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,4
7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,The Notorious B.I.G.,Hip-hop 90s,0.901,0.697,9,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,229827,4
0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),Ms. Lauryn Hill,Hip-hop 90s,0.535,0.505,2,-8.926,0.245,0.0393,0.0,0.0923,0.495,99.935,320267,4
33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",Mobb Deep,Hip-hop 90s,0.763,0.786,10,-6.472,0.229,0.0146,0.0114,0.0817,0.504,93.857,325507,4
4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Luniz,Hip-hop 90s,0.584,0.706,10,-7.899,0.366,0.209,0.0,0.125,0.579,174.039,253533,4
4AE7Lj39VnSZNOmGH2iZaq,Do For Love,2Pac,Hip-hop 90s,0.874,0.63,1,-3.585,0.298,0.0578,0.00479,0.0582,0.717,95.0,281600,4
5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,The Notorious B.I.G.,Hip-hop 90s,0.889,0.818,9,-4.639,0.253,0.47,0.0,0.179,0.782,96.063,302760,4
119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,Hip-hop 90s,0.512,0.514,11,-11.562,0.387,0.555,0.00958,0.126,0.565,181.033,252027,4
5Tbpp3OLLClPJF8t1DmrFD,"Nuthin' But A ""G"" Thang",Dr. Dre,Hip-hop 90s,0.669,0.821,11,-4.37,0.29,0.00182,0.0,0.147,0.684,94.895,237573,4
1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,Hip-hop 90s,0.897,0.611,11,-10.489,0.211,0.0291,0.186,0.0894,0.769,102.304,208267,4
3GKL13lkM5nRc4zC1lIOrR,Still Not a Player (feat. Joe) - Radio Version,Big Pun,Hip-hop 90s,0.9,0.62,4,-6.518,0.312,0.2,0.00156,0.0647,0.867,94.121,236800,4
2vfvGlqCB7oertO5VLE0sz,ATLiens,Outkast,Hip-hop 90s,0.918,0.734,11,-2.832,0.269,0.0296,8.01e-06,0.191,0.608,97.044,230693,4
4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,Hip-hop 90s,0.845,0.884,6,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,4
3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,A Tribe Called Quest,Hip-hop 90s,0.848,0.666,0,-6.547,0.274,0.173,0.000699,0.129,0.744,96.662,251573,4
3NGT0Td7H4Is1qrlDQJxma,Check Yo Self - Remix,Ice Cube,Hip-hop 90s,0.934,0.735,1,-6.668,0.251,0.031,8.6e-06,0.107,0.768,101.368,273107,4
6tDxrq4FxEL2q15y37tXT9,Dear Mama,2Pac,Hip-hop 90s,0.773,0.54,6,-7.123,0.103,0.371,0.0,0.131,0.322,84.115,280000,4
7N1Vjtzr1lmmCW9iasQ8YO,Survival of the Fittest,Mobb Deep,Hip-hop 90s,0.813,0.703,11,-5.077,0.268,0.125,1.26e-06,0.237,0.241,94.828,224533,4
0PV1TFUMTBrDETzW6KQulB,93 'Til Infinity,Souls Of Mischief,Hip-hop 90s,0.59,0.672,1,-11.792,0.412,0.125,1.04e-06,0.147,0.688,206.247,286440,4
5fpizYGbi5IQoEraj6FP0R,Intergalactic - Remastered 2009,Beastie Boys,Hip-hop 90s,0.734,0.864,2,-6.119,0.303,0.022,9.85e-06,0.246,0.47,105.932,231493,4
0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,Mos Def,Hip-hop 90s,0.782,0.589,1,-4.827,0.189,0.148,0.0,0.164,0.869,90.438,223547,4
7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',JAY-Z,Hip-hop 90s,0.88,0.814,11,-6.307,0.14,0.168,0.00672,0.0584,0.942,138.083,283067,4
5PQmSHzWnlgG4EBuIqjac2,If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,Hip-hop 90s,0.879,0.564,10,-7.682,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,4
0XRbYXQUymj9SJkrr8YK5B,Keep Ya Head Up,2Pac,Hip-hop 90s,0.598,0.732,4,-7.013,0.425,0.144,0.0,0.508,0.595,172.329,262507,4
1yy2DlSDtEt90d54rPDPXz,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy,Hip-hop 90s,0.833,0.619,7,-5.595,0.0538,0.111,2.13e-05,0.159,0.901,109.92,306560,4
0eEXcw3JLVXcRxYrVYMy68,Electric Relaxation,A Tribe Called Quest,Hip-hop 90s,0.866,0.534,11,-9.201,0.229,0.184,0.266,0.0929,0.841,98.243,226133,4
